Cloud,Persona,Needed from Cloud,Order,Related metrics,Metric,Visualization,Definition,DMOs,Technical definition,Dimensions,Action
Field Service,Field Service Leader,Field Service Cloud,Primary,1,Field Visit Volume/ work order volume (Term used by field service),Metric Card,Total number of field service visits (work orders/appointments) within a period.,"WorkOrder, ServiceAppointment",COUNT(WorkOrder.Id) ,"Workorder Priority, Account, Work type, Service territory, Origin, Feedback channel, Time period",
Field Service,Field Service Leader,Field Service Cloud,Secondary,1,- Visits Work Orders by product,Bar Chart,Breakdown of visits by product or service type involved.,"WorkOrder (Product/Asset), Asset",COUNT(WorkOrder.Id) GROUP BY WorkOrder.Asset.Product.,"Workorder Priority, Account, Work type, Service territory, Origin, Feedback channel, Time period",
Field Service,Field Service Leader,Field Service Cloud,Secondary,1,- Work Orders by service territory,Bar Chart,Distribution of visits by service region or assigned technician.,"WorkOrder, ServiceTerritory, User (Technician)",COUNT(WorkOrder.Id) GROUP BY ServiceTerritory.Name or AssignedResource.UserId.,"Workorder Priority, Account, Work type, Service territory, Origin, Feedback channel, Time period",
Field Service,Field Service Leader,Field Service Cloud,Secondary,1,work orders by work type,Pie Chart,Share of emergency vs. scheduled field visits.,"WorkOrder, ServiceAppointment",COUNT(WorkOrder.Id) GROUP BY WorkOrder.Priority or ServiceAppointment.Type.,"Workorder Priority, Account, Work type, Service territory, Origin, Feedback channel, Time period",
Field Service,Field Service Leader,Field Service Cloud + Service Cloud,Tertiary,1,- % of visits triggered by unresolved Service Cloud cases,Metric Card,Proportion of visits created from accounts with open service cases.,"WorkOrder, Case, Account",COUNT(WorkOrders linked to Accounts with Case.Status != Closed) ÷ COUNT(All WorkOrders).,"Workorder Priority, Account, Work type, Service territory, Origin, Feedback channel, Time period",
Field Service,Field Service Leader,Field Service Cloud + Marketing Cloud,Tertiary,1,- Visits for customers acquired via specific campaigns (Marketing),Bar Chart,Field visits segmented by marketing campaign influence.,"WorkOrder, CampaignInfluence, Account",COUNT(WorkOrders) GROUP BY Campaign.Id WHERE Account has Campaign Influence.,,
Field Service,Field Service Leader,Field Service Cloud + Sales Cloud,Tertiary,1,- Accounts with both open Sales opportunities and pending visits,Metric Card,# of accounts that have both an open opportunity and active/pending field visit.,"WorkOrder, Opportunity, Account",COUNT(Account.Id WHERE Opp.Stage != Closed AND WorkOrder.Status != Closed).,"Workorder Priority, Account, Work type, Service territory, Origin, Feedback channel, Time period",
Field Service,Field Service Leader,Field Service Cloud,Primary,2,First-Time Fix Rate (FTFR),Metric Card,% of visits resolved successfully without requiring repeat visits.,"WorkOrder, ServiceAppointment",COUNT(WorkOrders resolved on first attempt) ÷ COUNT(All WorkOrders).,"Workorder Priority, Account, Work type, Service territory, Origin, Feedback channel, Time period",
Field Service,Field Service Leader,Field Service Cloud,Secondary,2,- FTFR by product type,Bar Chart,First-Time Fix Rate segmented by product type.,"WorkOrder, Asset",FTFR calculation grouped by WorkOrder.Asset.Product.,"Workorder Priority, Account, Work type, Service territory, Origin, Feedback channel, Time period",
Field Service,Field Service Leader,Field Service Cloud,Secondary,2,- FTFR by technician,Bar Chart,First-Time Fix Rate segmented by technician.,"WorkOrder, ServiceResource",FTFR calculation grouped by Assigned Technician.,"Workorder Priority, Account, Work type, Service territory, Origin, Feedback channel, Time period",
Field Service,Field Service Leader,Field Service Cloud,Secondary,2,- FTFR by region,Bar Chart,First-Time Fix Rate segmented by service region.,"WorkOrder, ServiceTerritory",FTFR calculation grouped by ServiceTerritory.,"Workorder Priority, Account, Work type, Service territory, Origin, Feedback channel, Time period",
